{'license': 3, 'file_name': '000000005032.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000005032.jpg', 'height': 480, 'width': 640, 'date_captured': '2013-11-20 05:22:08', 'flickr_url': 'http://farm3.staticflickr.com/2745/4251871926_7a6543ab0d_z.jpg', 'id': 35032, 'filename': '000000005032.jpg'}
{'license': 1, 'file_name': '000000144025.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000144025.jpg', 'height': 480, 'width': 640, 'date_captured': '2013-11-20 05:50:23', 'flickr_url': 'http://farm5.staticflickr.com/4037/4213227848_958ebe557c_z.jpg', 'id': 174025, 'filename': '000000144025.jpg'}
{'license': 3, 'file_name': '000000148344.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000148344.jpg', 'height': 640, 'width': 425, 'date_captured': '2013-11-22 17:43:35', 'flickr_url': 'http://farm4.staticflickr.com/3342/3270186437_45a3daa13b_z.jpg', 'id': 178344, 'filename': '000000148344.jpg'}
{'license': 1, 'file_name': '000000131742.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000131742.jpg', 'height': 640, 'width': 426, 'date_captured': '2013-11-22 10:23:22', 'flickr_url': 'http://farm5.staticflickr.com/4088/4952920934_2d59dbab80_z.jpg', 'id': 161742, 'filename': '000000131742.jpg'}
{'license': 1, 'file_name': '000000143989.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000143989.jpg', 'height': 427, 'width': 640, 'date_captured': '2013-11-18 02:17:04', 'flickr_url': 'http://farm6.staticflickr.com/5340/8764321760_da673f6c56_z.jpg', 'id': 173989, 'filename': '000000143989.jpg'}
{'license': 3, 'file_name': '000000146910.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000146910.jpg', 'height': 640, 'width': 592, 'date_captured': '2013-11-20 11:47:03', 'flickr_url': 'http://farm6.staticflickr.com/5348/8776271813_b6049dc0b8_z.jpg', 'id': 176910, 'filename': '000000146910.jpg'}
{'license': 4, 'file_name': '000000022149.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000022149.jpg', 'height': 428, 'width': 640, 'date_captured': '2013-11-20 20:00:19', 'flickr_url': 'http://farm4.staticflickr.com/3678/9298021082_9758c4e363_z.jpg', 'id': 52149, 'filename': '000000022149.jpg'}
{'license': 3, 'file_name': '000000012822.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000012822.jpg', 'height': 424, 'width': 640, 'date_captured': '2013-11-19 18:15:23', 'flickr_url': 'http://farm9.staticflickr.com/8513/8542033179_318650944b_z.jpg', 'id': 42822, 'filename': '000000012822.jpg'}
{'license': 1, 'file_name': '000000143490.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000143490.jpg', 'height': 426, 'width': 640, 'date_captured': '2013-11-18 05:25:11', 'flickr_url': 'http://farm3.staticflickr.com/2567/4204754945_6f98a82ef7_z.jpg', 'id': 173490, 'filename': '000000143490.jpg'}
{'license': 1, 'file_name': '000000133680.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000133680.jpg', 'height': 463, 'width': 640, 'date_captured': '2013-11-14 11:18:11', 'flickr_url': 'http://farm9.staticflickr.com/8530/8568186456_8d9289b0e4_z.jpg', 'id': 163680, 'filename': '000000133680.jpg'}
{'license': 4, 'file_name': '000000146236.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000146236.jpg', 'height': 409, 'width': 640, 'date_captured': '2013-11-17 21:12:11', 'flickr_url': 'http://farm9.staticflickr.com/8496/8433750952_673314bab1_z.jpg', 'id': 176236, 'filename': '000000146236.jpg'}
{'license': 3, 'file_name': '000000031641.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000031641.jpg', 'height': 333, 'width': 500, 'date_captured': '2013-11-20 15:35:58', 'flickr_url': 'http://farm1.staticflickr.com/21/31564847_84d2e8cfc4_z.jpg', 'id': 61641, 'filename': '000000031641.jpg'}
{'license': 1, 'file_name': '000000024242.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000024242.jpg', 'height': 427, 'width': 640, 'date_captured': '2013-11-20 07:24:52', 'flickr_url': 'http://farm3.staticflickr.com/2534/3858140364_52863037ee_z.jpg', 'id': 54242, 'filename': '000000024242.jpg'}
{'license': 3, 'file_name': '000000025167.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000025167.jpg', 'height': 480, 'width': 640, 'date_captured': '2013-11-14 19:56:38', 'flickr_url': 'http://farm4.staticflickr.com/3112/2441526600_50ddc23704_z.jpg', 'id': 55167, 'filename': '000000025167.jpg'}
{'license': 3, 'file_name': '000000028646.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000028646.jpg', 'height': 437, 'width': 640, 'date_captured': '2013-11-17 08:15:36', 'flickr_url': 'http://farm6.staticflickr.com/5536/9347391470_acdae5b2e7_z.jpg', 'id': 58646, 'filename': '000000028646.jpg'}
{'license': 2, 'file_name': '000000149554.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000149554.jpg', 'height': 640, 'width': 480, 'date_captured': '2013-11-20 13:52:08', 'flickr_url': 'http://farm7.staticflickr.com/6084/6086809397_f2071e46c2_z.jpg', 'id': 179554, 'filename': '000000149554.jpg'}
{'license': 3, 'file_name': '000000001579.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000001579.jpg', 'height': 258, 'width': 640, 'date_captured': '2013-11-18 03:08:12', 'flickr_url': 'http://farm7.staticflickr.com/6232/6262730900_72427eed34_z.jpg', 'id': 31579, 'filename': '000000001579.jpg'}
{'license': 1, 'file_name': '000000025162.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000025162.jpg', 'height': 640, 'width': 426, 'date_captured': '2013-11-22 23:10:45', 'flickr_url': 'http://farm7.staticflickr.com/6209/6029212467_9b68bda812_z.jpg', 'id': 55162, 'filename': '000000025162.jpg'}
{'license': 1, 'file_name': '000000031943.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000031943.jpg', 'height': 480, 'width': 640, 'date_captured': '2013-11-19 01:46:42', 'flickr_url': 'http://farm4.staticflickr.com/3735/9092420955_d63b636ee8_z.jpg', 'id': 61943, 'filename': '000000031943.jpg'}
{'license': 1, 'file_name': '000000033643.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000033643.jpg', 'height': 640, 'width': 426, 'date_captured': '2013-11-20 13:22:45', 'flickr_url': 'http://farm5.staticflickr.com/4149/4961227043_5214d857c0_z.jpg', 'id': 63643, 'filename': '000000033643.jpg'}
{'license': 1, 'file_name': '000000148024.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000148024.jpg', 'height': 428, 'width': 640, 'date_captured': '2013-11-18 02:45:22', 'flickr_url': 'http://farm8.staticflickr.com/7451/9356791714_cfcf29f198_z.jpg', 'id': 178024, 'filename': '000000148024.jpg'}
{'license': 4, 'file_name': '000000027569.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000027569.jpg', 'height': 360, 'width': 640, 'date_captured': '2013-11-19 20:47:22', 'flickr_url': 'http://farm8.staticflickr.com/7094/7177701275_fc66bc9e39_z.jpg', 'id': 57569, 'filename': '000000027569.jpg'}
{'license': 3, 'file_name': '000000140092.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000140092.jpg', 'height': 514, 'width': 640, 'date_captured': '2013-11-14 19:36:20', 'flickr_url': 'http://farm8.staticflickr.com/7437/8720683016_aab16a53c9_z.jpg', 'id': 170092, 'filename': '000000140092.jpg'}
{'license': 4, 'file_name': '000000145503.jpg', 'coco_url': 'http://images.cocodataset.org/train2017/000000145503.jpg', 'height': 375, 'width': 500, 'date_captured': '2013-11-24 00:53:39', 'flickr_url': 'http://farm2.staticflickr.com/1339/820645508_7254c972e9_z.jpg', 'id': 175503, 'filename': '000000145503.jpg'}
